threads, async, sync
5, 1043.2, 698.5
5, 1064.7, 987.6
5, 1168.5, 1061.6
5, 1372.1, 946.3
5, 1394.3, 1061.8
5, 1395.1, 1079.4
5, 1362.8, 1266.5
5, 1446.8, 1499.7
5, 1397.8, 1433.1
5, 1457.7, 1382.7
5, 1474.9, 1359.8
5, 1437.2, 1452.2
5, 1205.4, 1300.7
5, 1435.5, 1328.0
5, 1440.5, 1414.8
5, 1452.2, 1369.5
5, 1415.2, 1418.8
5, 1401.0, 1276.8
5, 1402.1, 1168.8
5, 1383.1, 1380.5
10, 1728.6, 1667.2
10, 1806.0, 1946.3
10, 1844.7, 1887.5
10, 1778.7, 2001.6
10, 1846.0, 1675.9
10, 1792.1, 1646.4
10, 1783.5, 1499.9
10, 1833.2, 1621.3
10, 1828.2, 1664.4
10, 1782.8, 1722.7
10, 1548.7, 1640.4
10, 1853.9, 1536.1
10, 1679.8, 1514.2
10, 1710.0, 1623.4
10, 1726.8, 1608.5
10, 1591.8, 1678.7
10, 1609.5, 1551.1
10, 1527.7, 1551.8
10, 1612.6, 1625.8
10, 1465.4, 1589.3
20, 2187.2, 2196.1
20, 2228.9, 2220.2
20, 2119.1, 2044.8
20, 2132.2, 1777.5
20, 2012.7, 1808.3
20, 2040.0, 1744.1
20, 2077.1, 1871.3
20, 2049.0, 1750.9
20, 1986.7, 1786.0
20, 1966.4, 1714.2
20, 1830.8, 1702.9
20, 1905.1, 1791.6
20, 1978.4, 1725.9
20, 2082.2, 1654.5
20, 1956.4, 1658.1
20, 1952.9, 1656.0
20, 1961.6, 1737.2
20, 2005.2, 1657.4
20, 1986.5, 1680.5
20, 1899.9, 1718.5
30, 2624.4, 2326.3
30, 2377.7, 1876.9
30, 2268.3, 1848.9
30, 2303.1, 1929.5
30, 2162.6, 1788.2
30, 2147.0, 1826.4
30, 2137.1, 1797.3
30, 2120.6, 1983.5
30, 2235.8, 1893.0
30, 2200.7, 1854.5
30, 2173.1, 1824.3
30, 2176.4, 1858.9
30, 2189.1, 1743.4
30, 2285.2, 1773.3
30, 2166.7, 1749.8
30, 2186.9, 1832.3
30, 2220.2, 1666.8
30, 2251.1, 1932.6
30, 2145.3, 1808.6
30, 2156.3, 1793.0
40, 3031.9, 2705.4
40, 2424.1, 2252.9
40, 2452.8, 2178.5
40, 2407.6, 2110.3
40, 2410.4, 2014.8
40, 2298.3, 2157.6
40, 2347.3, 2008.4
40, 2295.9, 1972.7
40, 2311.6, 2075.1
40, 2294.0, 1931.2
40, 2255.0, 1961.3
40, 2232.1, 2072.1
40, 2328.8, 2069.4
40, 2284.4, 1973.7
40, 2315.6, 2162.7
40, 2341.6, 2068.9
40, 2343.0, 2019.5
40, 2227.2, 2124.4
40, 2346.0, 2090.8
40, 2383.5, 2080.4
50, 3230.6, 2715.0
50, 3231.2, 2309.3
50, 3097.5, 2240.1
50, 2768.5, 2242.1
50, 2600.5, 2203.6
50, 2671.1, 2239.5
50, 2626.5, 2252.4
50, 2509.5, 2198.3
50, 2514.6, 2214.6
50, 2576.3, 2218.5
50, 2492.1, 2226.1
50, 2440.5, 2221.9
50, 2478.4, 2272.5
50, 2496.3, 2200.3
50, 2512.9, 2162.9
50, 2459.2, 2233.7
50, 2519.0, 2205.2
50, 2520.9, 2159.3
50, 2395.4, 2208.4
50, 2588.0, 2186.9
